date,variable,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,Country
2020-01-01,R,NA,estimate,1.6217784694226802,1.518558061725772,0.38841302254881593,0.6654999040245808,1.3271756726504145,1.5564869893875872,1.6880974639764266,1.7686695880430339,1.9509836748556886,Peru
2020-01-02,R,NA,estimate,1.5236101432185465,1.4317891959238065,0.3308249753431363,0.6872542486945656,1.3030560619734093,1.4733422483646463,1.5721820211278859,1.637159427319411,1.77698463913399,Peru
2020-01-03,R,NA,estimate,1.4128406372979792,1.3474742651736316,0.2861584132305902,0.7070800842729451,1.261722983613299,1.3621320008371705,1.455965401024638,1.5196926839758385,1.64624847403429,Peru
2020-01-04,R,NA,estimate,1.3034276836266767,1.2667850925450461,0.25385298566542774,0.7237595922674743,1.2056093558236765,1.2658283977687128,1.346810141609645,1.409462917044885,1.5491270933313759,Peru
2020-01-05,R,NA,estimate,1.2266497613599703,1.1907651454480461,0.2320632424010232,0.7365356157249602,1.120196232064102,1.1882174832528016,1.2574638304206145,1.3187459411756246,1.4660586038823313,Peru
2020-01-06,R,NA,estimate,1.154720695013249,1.1203129821027165,0.21829535660621363,0.7453626798797356,1.0355411696459442,1.1152481942276333,1.1902303556485938,1.2430517478860053,1.387650679900328,Peru
2020-01-07,R,NA,estimate,1.0850008415929915,1.0561528303728358,0.21011742898423383,0.7387421028085496,0.9626037887621794,1.041681424671268,1.1242005495804794,1.1903891393463348,1.3153311325332173,Peru
2020-01-08,R,NA,estimate,1.0175982108319455,0.9988024650183533,0.20557941762789364,0.6891802818356392,0.8962637287698959,0.9695602547513594,1.0700646189474692,1.1381810806868604,1.2633490997361934,Peru
2020-01-09,R,NA,estimate,0.9575325344282619,0.9485534883388818,0.20328183631775826,0.6449107755095232,0.8395196930428276,0.9078411260059487,1.0088588090359965,1.0950268979363493,1.2344160128438488,Peru
2020-01-10,R,NA,estimate,0.9025173296394309,0.9054748078922924,0.20226932637454695,0.6070240648042105,0.7924611836327742,0.8526662204824638,0.9572456982236512,1.0569682098765378,1.2037429084177564,Peru
2020-01-11,R,NA,estimate,0.8587047043514122,0.8694405499990128,0.20190346955852298,0.5844185484589977,0.7484842782745474,0.8121428733083835,0.9119547812600173,1.0229633363995863,1.1721787545935245,Peru
2020-01-12,R,NA,estimate,0.8251276700956671,0.8401751439630686,0.2017636860546395,0.558524442342041,0.7151120174663278,0.7769752590257486,0.8778098468642817,0.9854970384568731,1.1586073450631127,Peru
2020-01-13,R,NA,estimate,0.801540222517821,0.8173048764018127,0.20157371042273664,0.5371263319858437,0.6880242283544189,0.7539657631498828,0.855170444512565,0.9575965861028444,1.1443162165964107,Peru
2020-01-14,R,NA,estimate,0.7817685944300052,0.8004066645492373,0.2011494681693183,0.5254402496589758,0.671025812695605,0.7384414955292007,0.8329635552924857,0.9346818975979956,1.1376165894587014,Peru
2020-01-15,R,NA,estimate,0.7708074914375764,0.7890483293970838,0.20037032139399913,0.5175984096785011,0.6577928669335534,0.7275838434604887,0.8240620462860182,0.9226961690636493,1.1335072051432948,Peru
2020-01-16,R,NA,estimate,0.7636644489484757,0.782817610754012,0.19917271010846896,0.5101670599333296,0.6548916283845088,0.7234952618543145,0.8232860895659618,0.9153952513290411,1.1296413282796531,Peru
2020-01-17,R,NA,estimate,0.7684375304862554,0.781338635070202,0.19755750938206357,0.5129204104731391,0.6549151300666595,0.7263326629694318,0.8212991186601997,0.9142232097077283,1.1280890249314204,Peru
2020-01-18,R,NA,estimate,0.7763513234799728,0.7842751352637267,0.1955975190047875,0.5106157843881987,0.658287042273365,0.7362619129124209,0.8272620378945471,0.9167335067487923,1.1229256533670462,Peru
2020-01-19,R,NA,estimate,0.7864669943877454,0.7913204251033915,0.19343266995253913,0.5141039056332376,0.6683774035363431,0.7473485773042374,0.8397483665114571,0.9183014539051988,1.1155733024308192,Peru
2020-01-20,R,NA,estimate,0.8044747850634547,0.8021753389286319,0.19124739234708393,0.5231711655678943,0.6885268191159084,0.7579023324748996,0.8559822734433664,0.9261198245717036,1.1087326836572202,Peru
2020-01-21,R,NA,estimate,0.8230627625204805,0.8165166846131301,0.1892348917989053,0.5321665829779777,0.7021569894751238,0.7742099985284947,0.8733627231147157,0.9346976031575911,1.10683337188093,Peru
2020-01-22,R,NA,estimate,0.8445051712598233,0.833959725857822,0.18756224888886847,0.5427528279952539,0.720172868623834,0.7982796055158754,0.8920993464091114,0.9583390112796276,1.1107242013274632,Peru
2020-01-23,R,NA,estimate,0.8677962336573699,0.854019000108235,0.18635035751475373,0.5593097927579269,0.7407758121821512,0.827718407524765,0.9114172558333344,0.9830212159521011,1.1151408907144138,Peru
2020-01-24,R,NA,estimate,0.8976714699404531,0.8760733852415142,0.18566807924682488,0.5744846228430797,0.7662631280816663,0.8557592887780743,0.9349856076321219,1.0030836384433566,1.1235792928604829,Peru
2020-01-25,R,NA,estimate,0.9246386022482123,0.8993445215119401,0.18552018728614775,0.5867844595340848,0.7950521089527031,0.8833422167638374,0.9591522807645019,1.0184998920891357,1.1593310372819832,Peru
2020-01-26,R,NA,estimate,0.9482639824919419,0.9229014212090585,0.18580921771255682,0.6060166616532053,0.8173011766522189,0.9104893976250618,0.9818073084517414,1.0404869174233922,1.1979657432289619,Peru
2020-01-27,R,NA,estimate,0.966866708935233,0.9457048811761526,0.1862860012933422,0.6297854624059108,0.8442295856726741,0.9347674254969502,0.9966551776929446,1.0544076447059634,1.228397693462002,Peru
2020-01-28,R,NA,estimate,0.9814255354175154,0.9666990192378674,0.18654582471727632,0.6599314192081419,0.8620784779145239,0.9475861206820085,1.0117054423621907,1.0675077195921343,1.2523952295757557,Peru
2020-01-29,R,NA,estimate,0.9899175765230471,0.9849426697281992,0.1861278829243324,0.6848388996335962,0.8851976317426515,0.9582999280908644,1.0222696713528194,1.0898716177042154,1.282099587354208,Peru
2020-01-30,R,NA,estimate,0.9966962174096704,0.9997548790799335,0.18471987201161005,0.7055929803987102,0.8971988098340324,0.9627562218431426,1.0300437161982643,1.1050086259314778,1.3134287227631842,Peru
2020-01-31,R,NA,estimate,1.0002185403250574,1.010835301879761,0.18239702637918082,0.7323258990687329,0.9051771618303167,0.9643889935347496,1.0370872742841546,1.1092100816221702,1.3372431709560895,Peru
2020-02-01,R,NA,estimate,0.998329768322351,1.0183205065560208,0.17978267703554449,0.75917947479089,0.9132246268526681,0.9649514180798788,1.041945464697029,1.1143390107687745,1.3541787991804979,Peru
2020-02-02,R,NA,estimate,1.002585214565328,1.0227535107806245,0.17801561783314798,0.772682622512725,0.9132339479655436,0.9635565618566987,1.0435755532573254,1.1195928183047956,1.3591291644227235,Peru
2020-02-03,R,NA,estimate,1.006160429464336,1.02497024536539,0.1784499804851139,0.785179751296299,0.9102620852501575,0.9602743702946509,1.046442889530908,1.1287824335845238,1.3561449142123831,Peru
2020-02-04,R,NA,estimate,1.0049904420608702,1.0259316389041704,0.18213682316375257,0.7723039264591676,0.9067624633991912,0.955244194035036,1.0519249304349574,1.1395848222885485,1.3502126726887556,Peru
2020-02-05,R,NA,estimate,1.0055342318580704,1.0265432296400419,0.18933875498555403,0.75387252162121,0.8951853273762169,0.9538467114749734,1.0591081950282342,1.144784375768391,1.364078495968001,Peru
2020-02-06,R,NA,estimate,1.009409819116588,1.0275018156671816,0.1993952872411644,0.7350902465106924,0.8858536081725168,0.9533828468930275,1.068329817164037,1.1495815965496743,1.3844816677467895,Peru
2020-02-07,R,NA,estimate,1.0095663456381827,1.0291945232439679,0.21099846218457516,0.717750129451062,0.876981736852313,0.9502437294244641,1.0685443905951568,1.162141894622105,1.4068414041233723,Peru
2020-02-08,R,NA,estimate,1.0119531674825888,1.0316580314909498,0.22263199689006466,0.7020972569359369,0.8694260903830506,0.9462678258338424,1.0728001859047671,1.1761548191267834,1.420167404763275,Peru
2020-02-09,R,NA,estimate,1.0062513707550065,1.0345920261293573,0.23292457807934722,0.707492835165347,0.8654312430968143,0.9422939864982471,1.0738187263792702,1.1863595524435158,1.4403837010363216,Peru
2020-02-10,R,NA,estimate,1.0080006200441556,1.0374145048111376,0.24085151391147638,0.7005515013512064,0.8593624343843509,0.9400428674974124,1.0724969084851599,1.1991617735017677,1.4629695696158582,Peru
2020-02-11,R,NA,estimate,1.0053170969224088,1.0393461016569447,0.24582898228712838,0.6960316608333594,0.8529873063544878,0.9331337984601666,1.0696812896611012,1.2043969927103912,1.4774634773578266,Peru
